id,name,network_level,source,lat,lon,coord_source,coord_quality,voltage_in_kv,voltage_out_kv,voltage_levels,voltage_source,capacity_available_mw,capacity_reserved_mw,capacity_total_mw,operator,commune,departement,region,function,substation_type,osm_id,osm_match_score,osm_match_distance_m,source_id,code_insee,capacity_source,last_updated,notes
RTE_DRUME,DRUMETTAZ,TX,RTE_ODRE,45.6473847,5.9129495,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Savoie,,Poste de transformation,,way_109160630,1.0,,DRUME,,MISSING,2025-12-13T03:11:38.853944,
RTE_DUGNY,DUGNY,TX,RTE_ODRE,49.1219386,5.3942136,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Meuse,,Poste de transformation,transmission,way_186922366,1.0,,DUGNY,,MISSING,2025-12-13T03:11:38.853947,
RTE_ENSIS,ENSISHEIM,TX,RTE_ODRE,47.866143,7.3764601,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Haut-Rhin,,Poste de transformation,,way_335256714,1.0,,ENSIS,,MISSING,2025-12-13T03:11:38.853952,
RTE_EPIN6,EPINAY,TX,RTE_ODRE,,,MISSING,MISSING,90.0,,90kV,OFFICIAL,,,,RTE,,Mayenne,,Poste de transformation,,,,,EPIN6,,MISSING,2025-12-13T03:11:38.853956,
RTE_F.COM,FONTENAY-LE-COMTE,TX,RTE_ODRE,,,MISSING,MISSING,90.0,,90kV,OFFICIAL,,,,RTE,,Vendée,,Poste de transformation,,,,,F.COM,,MISSING,2025-12-13T03:11:38.853961,
RTE_FAVAR,FAVARY,TX,RTE_ODRE,43.4709091,5.6158056,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Bouches-du-Rhône,,Poste de transformation,,way_147174229,1.0,,FAVAR,,MISSING,2025-12-13T03:11:38.853965,
RTE_FIGEA,FIGEAC,TX,RTE_ODRE,44.6064355,1.9996377,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Lot,,Poste de transformation,,way_490159566,1.0,,FIGEA,,MISSING,2025-12-13T03:11:38.853968,
RTE_FINHA,FINHAN,TX,RTE_ODRE,43.9073906,1.2434671,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Tarn-et-Garonne,,Poste de transformation,distribution,way_115432170,1.0,,FINHA,,MISSING,2025-12-13T03:11:38.853971,
RTE_FRASN,FRASNE,TX,RTE_ODRE,46.8719309,6.1631253,OSM,EXACT,400.0,,400kV,OFFICIAL,,,,RTE,,Doubs,,Poste de transformation,transmission,way_159167277,1.0,,FRASN,,MISSING,2025-12-13T03:11:38.853974,
RTE_FTAI8,FONTAINES (LES) (REGIE DE DREUX),TX,RTE_ODRE,48.7519813,2.3498538,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Eure-et-Loir,,Poste de transformation,minor_distribution,way_126143926,1.0,,FTAI8,,MISSING,2025-12-13T03:11:38.853978,
RTE_G.QU6,GRAND-QUEVILLY (CLIENT UIOM),TX,RTE_ODRE,45.5085325,-1.1285285,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Seine-Maritime,,Poste de transformation,minor_distribution,way_192411230,1.0,,G.QU6,,MISSING,2025-12-13T03:11:38.853981,
RTE_GAILL,GAILLAC,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Tarn,,Poste de transformation,,,,,GAILL,,MISSING,2025-12-13T03:11:38.853984,
RTE_GALER,GALERES,TX,RTE_ODRE,48.8814311,2.6029846,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Seine-Saint-Denis,,Poste de transformation,,way_101228343,1.0,,GALER,,MISSING,2025-12-13T03:11:38.853988,
RTE_GAREI,GAREIN,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Landes,,Poste de transformation,,,,,GAREI,,MISSING,2025-12-13T03:11:38.853991,
RTE_GEISP,GEISPOLSHEIM,TX,RTE_ODRE,48.5246672,7.6868025,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Bas-Rhin,,Poste de transformation,traction,way_375282547,1.0,,GEISP,,MISSING,2025-12-13T03:11:38.853994,
RTE_GENET,GENET,TX,RTE_ODRE,45.4725115,-0.395426,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Maine-et-Loire,,Poste de transformation,,node_12176905123,0.9,,GENET,,MISSING,2025-12-13T03:11:38.853998,
RTE_GIEN,GIEN,TX,RTE_ODRE,50.6026478,8.6526878,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Loiret,,Poste de transformation,distribution,way_106305855,1.0,,GIEN,,MISSING,2025-12-13T03:11:38.854001,
